Destination,District,Review_Count,Primary_Category,Nature_Score,Culture_Score,Adventure_Score,Food_Score,Wellness_Score,Entertainment_Score,Shopping_Score,Family_Score
Abarana Ella,Hambantota,16,Nature,0.278,0.0,0.0,0.0,0.222,0.222,0.0,0.111
Aradunu Falls,Badulla,40,Nature,0.389,0.0,0.154,0.0,0.0,0.111,0.0,0.111
Arankele archaeological site,Kurunagela,49,Wellness,0.167,0.429,0.0,0.0,0.556,0.111,0.0,0.0
Asgiriya Raja Maha Viharaya,Gampaha,137,Wellness,0.5,0.571,0.538,0.0,0.667,0.0,0.0,0.111
Atha Mala Ella,Matara,86,Nature,0.5,0.0,0.154,0.0,0.222,0.111,0.111,0.111
Athkanda raja maha viharaya,Kurunagela,141,Wellness,0.222,0.571,0.154,0.077,0.889,0.111,0.0,0.0
Athugala viharaya,Kurunagela,242,Wellness,0.611,0.286,0.385,0.0,0.778,0.111,0.0,0.222
Attidiya Bird Sanctuary,Colombo,207,Nature,0.778,0.143,0.308,0.385,0.778,0.111,0.222,0.444
Badulla Alugolla Samadhi Buddha,Badulla,24,Wellness,0.389,0.071,0.154,0.0,0.556,0.0,0.0,0.0
Badulla Dutch Fort,Badulla,91,Culture,0.111,0.643,0.077,0.077,0.111,0.0,0.222,0.222
Badulla Katharagama Devalaya,Badulla,55,Wellness,0.0,0.429,0.0,0.0,0.444,0.111,0.0,0.0
Balakaduwa ella waterfall,Matale,10,Nature,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bambarakiri ella,Matale,754,Wellness,0.778,0.214,0.462,0.154,0.889,0.333,0.222,0.667
Barberyn Island,Kalutara,47,Nature,0.333,0.071,0.308,0.0,0.333,0.111,0.111,0.222
Bataatha Agro Technology and Tourism Park,Hambantota,232,Wellness,0.5,0.143,0.154,0.615,0.778,0.222,0.222,0.667
Batadobalena,Rathnapura,98,Adventure,0.556,0.429,0.769,0.0,0.667,0.333,0.222,0.222
Beddagana Wetland Park,Colombo,199,Wellness,0.556,0.143,0.385,0.077,0.889,0.222,0.0,0.667
Bellagio Colombo,Colombo,230,Entertainment,0.111,0.071,0.077,0.231,0.444,0.667,0.0,0.111
Birds Research Center Hambantota,Hambantota,268,Family,0.556,0.071,0.308,0.308,0.889,0.667,0.333,1.0
Biso Ella Waterfall,Matara,61,Nature,0.444,0.071,0.231,0.0,0.333,0.222,0.0,0.333
Black Galle Fort,Galle,46,Culture,0.278,0.643,0.077,0.231,0.0,0.333,0.556,0.0
Blackpool,Badulla,43,Wellness,0.389,0.0,0.0,0.077,0.444,0.111,0.222,0.222
Boburu Fall Tracking,Badulla,19,Nature,0.333,0.0,0.231,0.0,0.0,0.222,0.0,0.0
Bogoda Raja Maha Viharaya,Badulla,34,Wellness,0.222,0.357,0.0,0.0,0.556,0.111,0.0,0.222
Bomburu Ella Waterfall,Badulla,243,Nature,0.889,0.071,0.846,0.077,0.667,0.333,0.222,0.778
Bopagama Ella,Gampaha,96,Family,0.556,0.071,0.077,0.077,0.667,0.111,0.222,0.889
Bopath Falls,Rathnapura,327,Nature,0.778,0.071,0.692,0.538,0.778,0.444,0.222,0.778
Bundala National Park,Hambantota,208,Nature,0.778,0.143,0.231,0.077,0.667,0.444,0.0,0.222
Bundala Safari with Srimal,Hambantota,45,Wellness,0.389,0.0,0.154,0.0,0.444,0.222,0.0,0.111
Casino Marina Colombo,Colombo,240,Entertainment,0.167,0.071,0.0,0.538,0.333,0.556,0.111,0.222
Cathedral Church of Christ the King,Kurunagela,15,Culture,0.056,0.286,0.0,0.0,0.111,0.0,0.111,0.0
Children park - lakeround,Kurunagela,277,Family,0.5,0.071,0.231,0.077,0.778,0.222,0.333,0.889
"Christ Church Warleigh, Dickoya",Hatton,10,Culture,0.167,0.357,0.0,0.0,0.333,0.0,0.0,0.0
Coconut Tree Hill,Matara,278,Wellness,0.778,0.143,0.615,0.462,0.889,0.444,0.333,0.222
Colombo Natational Museum,Colombo,205,Culture,0.389,0.714,0.154,0.154,0.444,0.444,0.333,0.444
Colombo Port Maritime Museum,Colombo,31,Culture,0.056,0.286,0.0,0.0,0.0,0.0,0.0,0.222
Colombo Port Old Lighthouse,Colombo,199,Wellness,0.444,0.571,0.231,0.385,0.667,0.444,0.0,0.667
Crow Island Beach Park,Colombo,210,Wellness,0.556,0.143,0.308,0.769,0.889,0.556,0.444,0.889
Dalada maligawa kurunagela,Kurunagela,6,Culture,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0
Dandeniya Wewa,Matara,25,Wellness,0.222,0.0,0.0,0.0,0.333,0.111,0.0,0.111
Deduru oya dam,Kurunagela,10,Shopping,0.111,0.0,0.0,0.0,0.111,0.0,0.222,0.111
Deduru oya resovir park,Kurunagela,30,Wellness,0.222,0.0,0.077,0.077,0.333,0.0,0.0,0.111
Dehena Ella,Rathnapura,86,Nature,0.5,0.0,0.462,0.077,0.111,0.333,0.0,0.111
Dehiwala Zoological Gardens,Colombo,210,Family,0.444,0.214,0.231,0.385,0.444,0.556,0.222,1.0
Delgamuwa Rajamaha Viharaya,Rathnapura,77,Culture,0.222,0.571,0.0,0.0,0.444,0.222,0.222,0.111
Devon Falls,Hatton,339,Nature,0.778,0.214,0.615,0.385,0.444,0.111,0.111,0.333
