Seed_Archetype,Nature_Interest,Culture_Interest,Adventure_Interest,Food_Interest,Wellness_Interest,Entertainment_Interest,Shopping_Interest,Family_Interest
Nature & Wellness,5,1,2,2,4,1,1,1
Nature & Wellness,5,2,2,1,5,2,1,1
Nature & Wellness,5,1,2,1,5,1,2,1
Nature & Wellness,5,2,2,1,5,1,2,1
Nature & Wellness,5,2,2,2,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,5,2,2,1,4,1,1,1
Nature & Wellness,5,3,2,2,4,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,4,2,2,1,5,1,1,1
Nature & Wellness,5,2,2,1,4,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,4,1,2,1,5,2,1,1
Nature & Wellness,4,2,1,1,5,1,1,1
Nature & Wellness,5,1,2,1,5,1,2,1
Nature & Wellness,4,2,2,2,5,1,2,1
Nature & Wellness,5,1,2,1,5,1,1,1
Nature & Wellness,5,2,3,3,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,4,2,2,2,5,2,1,1
Nature & Wellness,4,2,3,1,5,1,2,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,2
Nature & Wellness,5,3,2,1,4,2,2,1
Nature & Wellness,5,3,1,1,5,1,1,1
Nature & Wellness,5,3,2,1,4,1,1,1
Nature & Wellness,5,2,3,1,5,1,1,2
Nature & Wellness,5,3,2,1,5,1,1,1
Nature & Wellness,5,2,3,2,5,1,1,1
Nature & Wellness,5,3,2,1,4,1,1,1
Nature & Wellness,5,2,1,1,5,1,1,2
Nature & Wellness,5,1,2,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,5,3,2,1,5,1,1,1
Nature & Wellness,5,3,3,1,5,1,2,1
Nature & Wellness,5,1,3,1,4,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,5,2,1,1,5,1,1,1
Nature & Wellness,5,1,2,2,5,2,2,1
Nature & Wellness,5,2,2,1,5,1,2,1
Nature & Wellness,5,2,3,1,5,1,1,1
Nature & Wellness,4,2,3,1,5,1,1,1
