Hotel_Name,Aspect,Negative,Neutral,Positive,Total,Positive_Percentage,Negative_Percentage,Sentiment_Score
11 Cadogan Gardens,Cleanliness,0,2,1,3,33.33,0.0,0.333
11 Cadogan Gardens,Facilities,0,6,10,16,62.5,0.0,0.625
11 Cadogan Gardens,Food,2,10,25,37,67.57,5.41,0.622
11 Cadogan Gardens,Location,5,16,44,65,67.69,7.69,0.6
11 Cadogan Gardens,Room,8,25,54,87,62.07,9.2,0.529
11 Cadogan Gardens,Staff_Service,4,20,81,105,77.14,3.81,0.733
11 Cadogan Gardens,Value,1,2,8,11,72.73,9.09,0.636
11 Cadogan Gardens,Wellness,0,0,3,3,100.0,0.0,1.0
1K Hotel,Cleanliness,2,15,12,29,41.38,6.9,0.345
1K Hotel,Facilities,7,18,20,45,44.44,15.56,0.289
1K Hotel,Food,3,12,24,39,61.54,7.69,0.538
1K Hotel,Location,6,19,33,58,56.9,10.34,0.466
1K Hotel,Room,11,31,41,83,49.4,13.25,0.361
1K Hotel,Staff_Service,7,18,34,59,57.63,11.86,0.458
1K Hotel,Value,5,7,12,24,50.0,20.83,0.292
1K Hotel,Wellness,0,2,1,3,33.33,0.0,0.333
25hours Hotel beim MuseumsQuartier,Cleanliness,2,18,39,59,66.1,3.39,0.627
25hours Hotel beim MuseumsQuartier,Facilities,3,28,65,96,67.71,3.12,0.646
25hours Hotel beim MuseumsQuartier,Food,8,51,202,261,77.39,3.07,0.743
25hours Hotel beim MuseumsQuartier,Location,9,61,206,276,74.64,3.26,0.714
25hours Hotel beim MuseumsQuartier,Room,17,64,216,297,72.73,5.72,0.67
25hours Hotel beim MuseumsQuartier,Staff_Service,16,55,230,301,76.41,5.32,0.711
25hours Hotel beim MuseumsQuartier,Value,4,22,40,66,60.61,6.06,0.545
25hours Hotel beim MuseumsQuartier,Wellness,1,7,43,51,84.31,1.96,0.824
41,Cleanliness,0,0,1,1,100.0,0.0,1.0
41,Facilities,0,1,8,9,88.89,0.0,0.889
41,Food,0,3,19,22,86.36,0.0,0.864
41,Location,0,3,20,23,86.96,0.0,0.87
41,Room,0,4,15,19,78.95,0.0,0.789
41,Staff_Service,0,4,75,79,94.94,0.0,0.949
41,Value,0,1,3,4,75.0,0.0,0.75
41,Wellness,0,0,2,2,100.0,0.0,1.0
