purpose,stayDuration,adults,children,budgetValue,foodPreference,accessibility,Nature,Culture,Adventure,Food,Wellness,Entertainment,Shopping,Family,action__Prepare reliable Wi-Fi and an in-room workspace,action__Arrange express check-in and flexible arrival support,action__Offer a short after-hours experience plan,action__Confirm family room setup and child amenities,action__Share child-friendly activity times and transport options,action__Arrange a romantic welcome and private dining option,action__Offer spa or wellness appointment times,action__Prepare a quiet room and restful arrival experience,"action__Confirm guided adventure safety, weather, and transport",action__Prepare a nature activity briefing and suitable timing,action__Share a local culture and heritage itinerary,action__Confirm dietary dining options before arrival,action__Review accessibility needs and prepare appropriate support,action__Curate local entertainment options for the preferred time,action__Prepare a local shopping and artisan-market guide,purpose__Leisure,purpose__Family Holiday,purpose__Honeymoon,purpose__Wellness,purpose__Adventure,purpose__Business
Adventure,6,1,0,1,1,0,1,1,5,1,5,1,1,5,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Adventure,8,3,0,4,1,0,5,1,5,1,5,1,1,5,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0
Adventure,3,2,0,3,0,0,1,5,1,1,1,1,1,5,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Adventure,5,2,0,4,1,0,1,1,5,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Leisure,6,4,3,4,0,0,5,5,5,1,1,1,5,5,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
Wellness,6,1,0,3,1,0,5,1,1,5,5,5,1,5,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0
Honeymoon,2,3,0,1,1,0,1,5,1,1,5,1,1,5,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0
Leisure,6,1,0,3,1,0,5,1,1,1,1,1,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
Honeymoon,9,1,1,1,0,0,1,5,1,1,5,1,1,5,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Family Holiday,8,1,0,1,1,0,1,1,1,1,1,1,5,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Adventure,4,3,0,1,0,0,1,1,1,5,5,1,1,5,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0
Leisure,2,2,2,2,0,0,5,1,1,5,1,1,1,5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Leisure,1,2,0,1,1,0,5,1,1,5,1,1,1,5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Family Holiday,10,2,1,4,0,0,1,1,5,1,1,1,1,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Leisure,1,2,1,3,0,0,1,5,1,5,1,5,1,5,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
Leisure,9,2,0,4,0,0,5,1,5,1,5,1,5,5,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
Business,8,3,0,3,1,0,5,1,5,1,1,1,1,5,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Wellness,10,3,0,4,1,0,5,1,5,1,5,1,5,5,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0
Business,3,1,0,1,0,0,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Leisure,2,2,2,1,0,0,5,5,1,5,1,1,1,5,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Wellness,8,4,2,2,0,1,1,1,1,1,5,1,1,5,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
