UserID,Preferences,Gender,NumberOfAdults,NumberOfChildren,Nature_Interest,Culture_Interest,Adventure_Interest,Food_Interest,Wellness_Interest,Entertainment_Interest,Shopping_Interest,Family_Interest
1,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
2,"Nature, Adventure",Male,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
3,"City, Historical",Female,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
4,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
5,"Nature, Adventure",Female,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
6,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
7,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
8,"Nature, Adventure",Male,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
9,"City, Historical",Female,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
10,"Beaches, Historical",Male,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
11,"Nature, Adventure",Male,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
12,"City, Historical",Female,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
13,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
14,"Nature, Adventure",Female,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
15,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
16,"Beaches, Historical",Female,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
17,"Nature, Adventure",Female,1,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
18,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
19,"Beaches, Historical",Female,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
20,"Nature, Adventure",Female,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
21,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
22,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
23,"Nature, Adventure",Male,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
24,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
25,"Beaches, Historical",Female,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
26,"Nature, Adventure",Male,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
27,"City, Historical",Female,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
28,"Beaches, Historical",Female,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
29,"Nature, Adventure",Female,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
30,"City, Historical",Female,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
31,"Beaches, Historical",Male,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
32,"Nature, Adventure",Female,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
33,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
34,"Beaches, Historical",Female,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
35,"Nature, Adventure",Male,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
36,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
37,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
38,"Nature, Adventure",Female,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
39,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
40,"Beaches, Historical",Male,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
41,"Nature, Adventure",Male,1,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
42,"City, Historical",Female,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
43,"Beaches, Historical",Female,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
44,"Nature, Adventure",Male,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
45,"City, Historical",Female,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
46,"Beaches, Historical",Female,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
47,"Nature, Adventure",Female,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
