UserID,Preferences,Gender,NumberOfAdults,NumberOfChildren,Nature_Interest,Culture_Interest,Food_Interest,Wellness_Interest,Entertainment_Interest,Shopping_Interest,Family_Interest,Cluster,Guest_Segment
1,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
2,"Nature, Adventure",Male,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
3,"City, Historical",Female,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
4,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
5,"Nature, Adventure",Female,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
6,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
7,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
8,"Nature, Adventure",Male,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
9,"City, Historical",Female,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
10,"Beaches, Historical",Male,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
11,"Nature, Adventure",Male,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
12,"City, Historical",Female,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
13,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
14,"Nature, Adventure",Female,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
15,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
16,"Beaches, Historical",Female,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
17,"Nature, Adventure",Female,1,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
18,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
19,"Beaches, Historical",Female,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
20,"Nature, Adventure",Female,2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
21,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
22,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
23,"Nature, Adventure",Male,2,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
24,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
25,"Beaches, Historical",Female,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
26,"Nature, Adventure",Male,2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
27,"City, Historical",Female,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
28,"Beaches, Historical",Female,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
29,"Nature, Adventure",Female,2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
30,"City, Historical",Female,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
31,"Beaches, Historical",Male,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
32,"Nature, Adventure",Female,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
33,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
34,"Beaches, Historical",Female,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
35,"Nature, Adventure",Male,2,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
36,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
37,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
38,"Nature, Adventure",Female,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
39,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
40,"Beaches, Historical",Male,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
41,"Nature, Adventure",Male,1,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
42,"City, Historical",Female,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
43,"Beaches, Historical",Female,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
44,"Nature, Adventure",Male,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
45,"City, Historical",Female,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
46,"Beaches, Historical",Female,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
47,"Nature, Adventure",Female,2,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
48,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
49,"Beaches, Historical",Male,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
50,"Nature, Adventure",Female,2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
51,"City, Historical",Male,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
52,"Beaches, Historical",Female,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
53,"Nature, Adventure",Male,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
54,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
55,"Beaches, Historical",Female,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
56,"Nature, Adventure",Male,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
57,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
58,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
59,"Nature, Adventure",Male,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
60,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
61,"Beaches, Historical",Male,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
62,"Nature, Adventure",Male,1,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
63,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
64,"Beaches, Historical",Male,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
65,"Nature, Adventure",Female,2,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
66,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
67,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
68,"Nature, Adventure",Male,1,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
69,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
70,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
71,"Nature, Adventure",Female,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
72,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
73,"Beaches, Historical",Female,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
